ray_id,x,y,z
0,0.502488,0.945274,1
1,-0.462989,0.779359,-1
2,0.857347,-0.275321,-1
0,0.531579,1,0.942105
1,-0.594064,1,-0.716895
2,1,-0.321131,-0.833611
0,1,0.118812,0.00990099
1,-1,0.316679,0.159877
2,-0.57204,-0.825963,1
0,0.492537,-0.835821,-1
1,-0.611032,-0.338078,1
2,-1,-0.963394,0.500832
0,0.405263,-1,-0.826315
1,-0.217808,-1,0.150685
2,-0.886011,-1,0.367876
0,-0.512438,0.726368,1
1,0.314947,-0.103203,-1
2,0.286734,-0.623395,-1
0,-0.657895,1,0.710526
1,0.97032,1,0.415525
2,1,-0.394343,-0.168054
0,-1,0.356436,0.0297028
1,1,0.950038,0.479631
2,-0.00142717,-0.072753,1
0,-0.482587,-0.616915,-1
1,0.759075,0.544484,1
2,-1,0.24792,-0.164725
0,-0.278947,-1,-0.594736
1,-0.158447,-1,-0.981735
2,-0.283879,0.477889,-1
0,0.522388,0.507462,1
1,-0.166904,-0.985765,-1
2,1,0.890183,0.497503
0,0.784211,1,0.478946
1,-1,0.416603,0.799385
2,0.658031,1,0.896371
0,1,0.59406,0.0495048
1,-0.907117,0.572954,1
2,0.569186,0.971469,1
0,0.472637,-0.398009,-1
1,-0.653425,1,0.452055
2,-1,0.467554,-0.830281
0,0.152631,-1,-0.363157
1,0.0188612,-0.131673,-1
2,-0.854492,0.420827,-1
0,-0.532338,0.288556,1
1,0.534703,-1,0.114155
2,0.860201,-0.129815,1
0,-0.910527,1,0.247367
1,0.94484,-0.309609,1
2,1,-0.174709,0.83694
0,-1,0.831684,0.0693068
1,1,-0.216756,0.880861
2,-0.574895,-0.680457,-1
0,-0.462687,-0.179103,-1
1,0.277169,1,-0.680365
2,-1,-0.816972,-0.504162
0,-0.026315,-1,-0.131577
1,0.129182,0.75089,-1
2,-0.430052,-1,0.16062
0,0.542289,0.0696501,1
1,-0.796797,-0.807829,1
2,0.289588,-0.768901,1
0,1,0.930691,0.0891088
1,-0.910959,-1,0.753425
2,1,-0.540765,0.171383
0,0.963157,1,0.0157876
1,-1,-0.850115,0.561107
2,-0.00428152,-0.218259,-1
0,0.452736,0.0398028,-1
1,-0.277224,0.366548,-1
2,-1,0.101498,0.161395
0,-0.100001,-1,0.100002
1,0.0990867,1,-0.187215
2,-0.281025,0.332383,1
0,-0.552239,-0.149256,1
1,0.648754,0.074733,1
2,1,0.74376,-0.494174
0,-1,0.693067,0.108911
1,1,-0.516526,0.241353
2,1,0.743761,-0.494174
0,-0.836841,1,-0.215792
1,0.712785,-1,-0.378995
0,-0.442786,0.258709,-1
1,0.425267,-0.516014,-1
0,0.226317,-1,0.331581
1,-0.475342,1,0.945205
0,0.562189,-0.368161,1
1,-0.500712,0.957295,1
0,1,0.455443,0.128713
1,-1,0.116833,-0.0784012
0,0.710525,1,-0.447371
1,-0.57331,-0.601424,-1
0,0.432836,0.477614,-1
1,-0.33653,-1,-0.488585
0,-0.352633,-1,0.56316
1,0.352669,0.160143,1
0,-0.572139,-0.587067,1
1,0.851598,1,-0.0776252
0,-1,0.217819,0.148515
1,1,0.750192,-0.398155
0,-0.584209,1,-0.67895
1,0.721352,0.281138,-1
0,-0.422885,0.69652,-1
1,-0.0397258,-1,0.643835
0,0.478949,-1,0.794739
1,-0.204626,-0.722419,1
0,0.58209,-0.805973,1
1,-1,0.616449,-0.717909
0,1,-0.0198047,0.168317
1,-0.869395,0.836299,-1
0,0.457893,1,-0.910529
1,-0.772146,1,-0.789955
0,0.412935,0.915425,-1
1,0.0565838,-0.395018,1
0,-0.59204,-0.975122,1
1,0.415982,-1,0.223745
0,-0.605265,-1,0.973681
1,0.982562,-0.0462628,-1
0,-1,-0.257429,0.188119
1,1,-0.0169098,-0.962337
0,-0.402985,0.865669,-1
1,0.395891,1,0.342465
0,-0.331577,1,-0.857892
1,0.0914589,0.487544,1
0,0.60199,-0.756216,1
1,-0.792237,-1,-0.908675
0,0.731581,-1,0.742102
1,-0.83452,-0.928825,-1
0,1,-0.495053,0.207921
1,-1,-0.650268,-0.642583
0,0.393035,0.646763,-1
1,-0.239502,0.629894,1
0,0.205261,1,-0.626312
1,-0.239501,0.629894,1
0,-0.61194,-0.53731,1
0,-0.857897,-1,0.510523
0,-1,-0.732677,0.227723
0,-0.383084,0.427857,-1
0,-0.0789453,1,-0.394733
0,0.621891,-0.318404,1
0,0.621891,-0.318405,1
