delay,gain
0,1
2.16551,0.0878821
2.55138,0.066582
2.45282,0.0712621
2.6264,0.0633076
2.18166,0.0868108
2.18148,0.0868227
2.50763,0.068604
2.22533,0.0840041
2.18347,0.0866924
2.20286,0.0854322
2.70522,0.0601091
2.20384,0.0853692
2.78717,0.0570236
2.18389,0.0866642
2.25791,0.0819919
2.14186,0.0894848
2.3076,0.079051
2.58691,0.0650019
2.62336,0.0634353
2.61281,0.0638832
2.78414,0.0571336
2.40811,0.0735404
2.23471,0.0834176
2.01945,0.0984602
2.59844,0.0645002
2.39024,0.0744796
2.66115,0.0618682
2.70107,0.0602717
2.5916,0.0647969
2.85931,0.0544919
2.6156,0.0637643
2.5455,0.0668487
3.08957,0.0474139
3.2388,0.0435168
2.82193,0.0557832
2.04386,0.096574
2.63437,0.0629732
2.1758,0.0871973
2.71037,0.0599083
2.88958,0.0534779
2.88661,0.0535761
2.21735,0.0845073
2.84687,0.0549168
2.11768,0.0911652
2.26204,0.081742
2.44799,0.0715038
2.3812,0.0749612
2.0349,0.0972611
2.61164,0.0639332
2.76232,0.0579346
2.60018,0.0644253
2.72439,0.0593661
2.33168,0.0776792
2.02551,0.0979872
2.00073,0.0999418
2.04364,0.0965913
2.10912,0.0917701
2.65239,0.0622264
2.15265,0.0887487
2.59835,0.0645045
2.10859,0.0918082
2.01777,0.098592
2.06067,0.0953043
2.79278,0.0568205
4.8477,0.010204
2.85204,0.0273698
2.90414,0.0264999
2.9364,0.025981
3.90895,0.0153564
4.2846,0.0129147
2.93312,0.026033
4.5777,0.0113867
3.66349,0.0173356
5.01453,0.00956186
2.83065,0.027739
3.75483,0.0165577
2.83102,0.0277326
3.85223,0.0157831
4.21664,0.013312
4.15604,0.0136816
3.03629,0.0244641
2.95073,0.0257552
3.15891,0.0227713
2.95208,0.0257339
2.83436,0.0276744
2.94505,0.0258443
3.23693,0.0217814
4.11722,0.0139264
3.05855,0.0241435
3.21307,0.0220773
2.87279,0.0270185
2.90635,0.0264637
2.97368,0.0253993
3.41785,0.0197135
2.95185,0.0257376
2.9261,0.026145
3.09634,0.0236131
3.34922,0.0204628
2.84837,0.0274327
4.25191,0.0131036
2.92777,0.0261182
4.78068,0.01048
2.99339,0.0250995
3.14616,0.0229393
3.10683,0.0234689
4.05328,0.0143439
3.03147,0.0245344
4.6248,0.0111663
3.44777,0.0193992
2.90738,0.0264471
3.14844,0.0229092
4.20327,0.0133923
2.9077,0.0264418
2.84368,0.0275134
2.89037,0.0267259
2.85357,0.0273437
3.30966,0.0209138
4.15136,0.0137108
4.00834,0.0146484
4.2507,0.0131107
4.58363,0.0113586
3.11453,0.0233639
4.70081,0.0108236
3.19329,0.0223272
4.58104,0.0113709
4.10767,0.0139876
4.34079,0.0125992
3.1203,0.0232856
5.07402,0.00467365
4.89663,0.00500461
4.72353,0.00536211
5.31482,0.0042739
4.64923,0.00552722
4.76957,0.00526343
4.94833,0.00490466
5.00133,0.00480523
4.55441,0.00574907
5.04759,0.00472087
5.29815,0.00429991
4.66642,0.00548835
5.54501,0.00393736
4.63568,0.00555814
4.93591,0.00492839
4.58891,0.00566684
4.49717,0.0058894
5.22251,0.00442092
3.98457,0.00740661
5.30369,0.00429123
5.54572,0.00393639
4.6676,0.0054857
4.46991,0.00595804
6.27843,0.00309263
4.58536,0.00567524
4.95496,0.00489205
5.27956,0.00432919
5.4779,0.0040313
5.27816,0.00433141
3.52767,0.00929753
5.31172,0.00427871
5.04936,0.00471768
3.61342,0.0088925
3.47162,0.00957696
5.69863,0.0037342
6.56975,0.00283051
5.32173,0.00426318
4.87021,0.00505686
4.66211,0.00549806
3.63195,0.00880836
3.69061,0.0085496
4.82614,0.00514582
3.97108,0.00745401
5.07848,0.00466575
4.71068,0.00539013
4.7157,0.00537917
4.86203,0.00507319
6.4669,0.00291915
5.2111,0.00443962
5.50681,0.00399043
5.13798,0.00456224
5.42007,0.00411494
4.84731,0.0051028
6.35433,0.00302096
6.02269,0.00335366
6.5672,0.00283266
4.90891,0.00498061
4.03616,0.00722937
4.7692,0.0052642
3.97434,0.00744253
4.68767,0.00544087
6.25687,0.00311345
5.3814,0.00417231
3.75349,0.00828436
5.27107,0.00217133
5.85364,0.00177229
6.33007,0.0015218
6.00438,0.00168679
6.77189,0.0013338
