ray_id,x,y,z
0,0.461336,0.999,-0.152267
1,0.999,-0.814526,0.702275
2,-0.0514023,-0.128685,-0.999
3,-0.436277,0.999,-0.275436
4,0.358986,-0.115879,0.999
5,-0.999,-0.712981,0.80444
6,-0.0368991,-0.343438,-0.999
7,0.999,-0.424789,0.75413
8,0.703642,-0.999,0.429346
9,-0.442122,-0.999,-0.144754
10,-0.441256,-0.999,-0.400946
11,-0.999,0.593888,0.312458
12,-0.736524,0.280711,-0.999
13,-0.999,-0.995835,0.948465
14,-0.999,-0.0758806,-0.411035
15,0.999,-0.556656,0.563596
16,-0.999,0.169525,-0.0972621
17,0.185891,-0.999,-0.106225
18,0.00649939,-0.999,0.528789
19,-0.999,0.052559,0.193518
20,0.528611,-0.999,0.483625
21,0.767622,0.188219,-0.999
22,-0.999,-0.260226,-0.636608
23,-0.999,0.393804,0.34962
24,0.999,-0.964102,0.482168
25,0.999,0.162045,-0.575476
26,0.00723895,0.999,0.490067
27,-0.423211,0.999,-0.426324
28,0.273917,-0.244582,0.999
29,-0.999,0.30541,-0.379554
30,-0.795452,-0.999,0.261671
31,0.999,0.425699,-0.816203
32,0.999,-0.521765,0.323176
33,0.0164443,-0.40599,-0.999
34,-0.0956483,0.999,0.443742
35,-0.140675,0.458287,0.999
36,-0.335457,-0.266601,0.999
37,-0.999,0.224029,-0.413751
38,0.376653,-0.718371,-0.999
39,0.396453,-0.999,-0.837334
40,-0.188365,0.73205,-0.999
41,-0.999,-0.345315,-0.392739
42,-0.999,-0.00332866,-0.983387
43,0.659857,0.999,0.119202
44,0.999,0.266112,-0.339951
45,0.999,0.89989,-0.636914
46,0.162679,0.449435,-0.999
47,0.87764,-0.999,0.505122
48,-0.377665,0.161366,-0.999
49,-0.999,0.244812,-0.474881
50,0.999,0.258947,0.853218
51,0.20166,-0.529265,0.999
52,0.999,0.921373,-0.951654
53,0.290076,-0.999,0.503628
54,0.285554,-0.0868372,0.999
55,-0.0720585,-0.999,-0.199806
56,0.999,0.0457209,0.214513
57,0.999,-0.254016,0.668411
58,-0.635056,-0.999,-0.192519
59,0.593836,-0.864525,-0.999
60,-0.999,0.698285,-0.173421
61,-0.999,-0.14391,-0.038856
62,0.162544,-0.999,0.494303
63,-0.999,-0.498228,0.263581
0,0.999,-0.168618,-0.330057
1,0.771292,-0.999,0.862188
2,-0.154156,-0.385928,0.999
3,-0.999,-0.293123,-0.631332
4,0.999,-0.322795,-0.78662
5,-0.7559,-0.886308,0.999
6,-0.10744,-0.999,0.912733
7,0.672969,-0.563283,0.999
8,0.999,-0.577824,0.610177
9,-0.999,0.262817,-0.327408
10,-0.999,0.26726,-0.908648
11,-0.315181,0.999,0.526123
12,-0.999,0.381129,-0.641271
13,-0.994818,-0.999,0.952432
14,0.433884,-0.184609,-0.999
15,0.22468,-0.987686,0.999
16,0.999,0.508407,-0.291689
17,0.557487,0.999,-0.318567
18,0.0122911,-0.107887,0.999
19,0.999,0.157624,0.580361
20,0.999,-0.107249,0.914898
21,0.999,0.245197,-0.696276
22,-0.428175,-0.408769,-0.999
23,0.540334,0.999,0.887802
24,0.961765,-0.999,0.500121
25,0.261308,0.281585,-0.999
26,0.0147714,-0.0415388,0.999
27,-0.992697,-0.346634,-0.999
28,0.821478,-0.733502,-0.999
29,0.635674,0.804656,-0.999
30,-0.999,-0.741853,0.328959
31,0.773814,0.52156,-0.999
32,0.0824267,-0.999,0.61939
33,0.0405042,-0.999,0.464114
34,-0.215549,-0.254561,0.999
35,-0.306957,0.999,-0.183037
36,-0.999,-0.794739,-0.982006
37,0.417913,0.541459,-0.999
38,0.524315,-0.999,-0.606962
39,0.473471,-0.804734,-0.999
40,-0.257311,0.999,-0.632973
41,0.547223,-0.879248,-0.999
42,-0.982106,-0.0033849,-0.999
43,0.999,0.483521,0.180649
44,-0.942599,0.782795,-0.999
45,0.887753,0.999,-0.70777
46,0.361962,0.999,0.226015
47,0.999,-0.85958,0.575546
48,-0.999,0.427271,0.648848
49,0.10679,0.515523,-0.999
50,0.826967,0.303495,0.999
51,0.381019,-0.999,0.109587
52,0.948198,0.968181,-0.999
53,0.575973,-0.0134072,0.999
54,0.856377,-0.260425,-0.999
55,-0.216104,0.999,-0.599218
56,-0.999,0.137117,0.643326
57,0.502916,-0.380029,0.999
58,-0.999,-0.424337,-0.303153
59,0.686892,-0.999,-0.842296
60,-0.56692,0.999,-0.248353
61,0.999,-0.431585,-0.116529
62,0.328836,0.0240522,0.999
63,0.00811529,-0.999,0.529037
0,0.615454,-0.999,-0.456649
1,0.575056,-0.839161,0.999
2,-0.256909,-0.64317,-0.999
3,-0.690606,-0.999,-0.826032
4,0.9224,-0.347522,-0.999
5,-0.596439,-0.999,0.870723
6,-0.110661,-0.969029,0.999
7,-0.355111,-0.999,0.223694
8,0.360131,0.330122,0.999
9,-0.673075,0.999,-0.434118
10,-0.898464,0.4951,-0.999
11,0.999,0.217929,0.937062
12,0.209835,0.841851,0.999
13,-0.944665,-0.949056,0.999
14,0.999,-0.227566,-0.766307
15,0.202559,-0.999,0.986532
16,-0.999,0.847288,-0.486116
17,0.929083,-0.999,-0.53091
18,0.0194917,0.999,0.413161
19,-0.999,0.26269,0.967204
20,0.905982,0.068718,0.999
21,-0.303099,0.564468,0.999
22,0.999,-0.780417,-0.0898125
23,0.861249,0.872622,0.999
24,-0.0749659,0.000514209,0.999
25,-0.999,0.485974,-0.273148
26,0.0217096,-0.999,0.52929
27,-0.999,-0.363889,-0.991644
28,0.999,-0.892906,-0.347262
