delay,gain
0,1
2.22263,0.0841742
2.93642,0.0519612
2.01812,0.0985647
2.24962,0.0824972
2.13663,0.0898441
2.93562,0.0519866
2.11501,0.0913535
2.64436,0.0625576
2.5911,0.0648189
2.20493,0.0852994
2.32763,0.0779076
2.40777,0.0735582
2.54579,0.0668354
3.40016,0.0398054
2.16676,0.0877989
2.55069,0.0666131
2.03686,0.0971101
2.04435,0.0965371
2.26156,0.0817709
2.03884,0.0969584
2.45953,0.0709291
2.54847,0.066714
2.42651,0.0725905
2.25948,0.0818965
2.94005,0.0518462
2.32932,0.0778122
2.2264,0.0839367
2.33226,0.0776465
2.12965,0.0903276
2.22381,0.0840994
2.60785,0.0640955
2.71765,0.0596258
2.34579,0.0768908
2.15787,0.0883955
2.1955,0.0859073
2.21704,0.084527
2.17496,0.0872535
2.20942,0.0850121
2.57443,0.0655506
2.72566,0.0593175
2.5063,0.068667
2.25609,0.0821026
2.80433,0.0564064
2.40717,0.0735891
2.17751,0.0870848
2.97621,0.050721
2.21581,0.0846049
2.84563,0.0549596
2.16118,0.0881728
2.26667,0.0814627
2.67883,0.0611535
2.29764,0.0796286
3.31878,0.0416171
2.31239,0.0787756
2.08622,0.0934173
2.04364,0.0965911
2.04656,0.0963683
2.45788,0.0710107
2.39947,0.0739925
2.89762,0.0532131
2.46307,0.0707543
2.02111,0.0983307
2.25367,0.08225
2.29496,0.0797853
3.47541,0.0191153
3.33144,0.0206638
4.10965,0.0139749
3.79681,0.0162172
4.28908,0.0128891
3.35964,0.0203465
4.43798,0.0120798
3.08348,0.0237917
3.1472,0.0229255
3.57823,0.018111
4.0151,0.014602
3.20006,0.0222413
2.97557,0.0253703
3.40889,0.0198089
3.74154,0.0166676
3.68624,0.0171369
4.214,0.0133278
4.25452,0.0130884
3.14415,0.022966
4.22475,0.0132636
3.68605,0.0171386
2.90263,0.0265245
3.06768,0.0240139
4.31149,0.0127623
2.99926,0.025011
3.09488,0.0236333
3.27242,0.0213516
4.1867,0.0134928
4.68171,0.0109083
4.36232,0.0124814
2.92678,0.0261341
3.03231,0.0245221
3.42708,0.0196158
3.76097,0.0165072
3.52809,0.0185909
3.48082,0.0190605
4.85372,0.0101797
3.88179,0.0155586
3.07353,0.0239313
2.99542,0.0250689
2.92269,0.0261996
4.31232,0.0127577
2.82712,0.0278006
2.94911,0.0257805
4.78493,0.0104622
3.16633,0.0226745
3.55244,0.0183556
3.05968,0.0241274
4.12799,0.0138579
3.51673,0.0187023
2.90219,0.0265317
3.24621,0.0216677
3.42759,0.0196103
3.44981,0.019378
4.47107,0.0119101
4.25071,0.0131106
4.26639,0.0130194
3.02046,0.0246958
3.01676,0.0247504
3.15248,0.0228558
2.93943,0.0259329
4.1266,0.0138667
3.33255,0.0206511
3.43446,0.0195381
4.59327,0.00565659
3.51693,0.00935015
6.26135,0.0031091
4.84341,0.00511068
4.60871,0.00562046
3.51241,0.00937241
4.56903,0.00571402
4.19703,0.00671501
4.13045,0.00692113
4.58807,0.00566883
4.33565,0.00631381
4.99862,0.00481024
5.14175,0.00455579
3.46342,0.00961886
4.52989,0.00580857
3.71034,0.00846506
6.48978,0.00289907
6.57519,0.00282594
4.47377,0.00594823
6.51259,0.00287926
3.89403,0.00773349
5.0094,0.00479035
4.91066,0.00497719
4.81413,0.00517044
4.0513,0.00717853
4.63812,0.00555255
4.4706,0.00595628
4.21033,0.00667489
5.27326,0.00433918
4.9415,0.0049177
5.2395,0.00439332
4.25456,0.00654406
4.97684,0.0048508
4.50639,0.00586646
4.52916,0.00581037
4.57725,0.00569445
4.88236,0.00503272
4.73712,0.00533269
4.61717,0.0056008
4.57192,0.00570712
4.92373,0.00495184
4.86328,0.00507069
5.5849,0.00388306
4.67203,0.00547577
4.87723,0.00504288
3.57207,0.0090845
4.61238,0.00561192
3.85031,0.00789894
4.65019,0.00552503
4.76674,0.0052694
5.40167,0.00414209
4.68488,0.00544708
3.46451,0.00961328
4.88065,0.00503611
4.8107,0.00517752
6.56723,0.00283264
5.9907,0.0033886
4.94314,0.00491455
4.75695,0.0052902
3.62028,0.00886123
4.82488,0.00514839
6.29944,0.00307254
4.60647,0.00562568
4.81288,0.00517302
6.84936,0.00130443
5.50255,0.00199821
8.45602,0.000862019
5.22784,0.00220612
6.51454,0.00143879
5.49311,0.00200486
6.34219,0.00151613
5.22837,0.00220569
5.11795,0.00229835
6.76371,0.00133696
4.93692,0.00246323
5.13637,0.0022825
5.79218,0.00180901
6.73892,0.0013466
6.48703,0.00145074
4.92228,0.00247732
7.16663,0.00119364
6.80749,0.00132018
6.84281,0.00130687
6.59695,0.00140387
4.90177,0.00249727
6.2236,0.00157299
5.76944,0.00182288
4.99271,0.0024106
5.85879,0.00176927
7.37986,0.00112689
6.66244,0.00137701
4.93017,0.00246971
5.68934,0.00187302
5.08912,0.0023235
6.33986,0.00151722
5.38816,0.0020811
5.0315,0.00237498
6.39766,0.00149058
6.61773,0.00139526
6.79855,0.00132358
5.34873,0.00211085
6.04577,0.00166439
5.19495,0.00223314
5.47259,0.00201943
6.40161,0.00148878
4.99693,0.00240668
5.65469,0.00189534
6.7333,0.00134881
5.34856,0.00211098
5.68678,0.00187466
6.85114,0.00130376
5.54601,0.00196799
6.69184,0.0013652
5.63571,0.00190774
6.14446,0.00161272
7.21966,0.0011765
6.49828,0.00144583
5.1579,0.00226417
6.44604,0.00146881
6.56992,0.00141518
6.49858,0.0014457
6.02356,0.00167635
7.20036,0.0011827
5.5284,0.00198015
6.5719,0.00141435
8.43157,0.000866955
7.00539,0.00124812
5.38049,0.00208683
8.72104,0.000405547
6.60794,0.000699654
8.94433,0.000385797
6.81495,0.000658677
8.86335,0.000392791
6.70022,0.000680933
8.51076,0.000425558
6.30563,0.000766666
6.57048,0.000707474
9.0876,0.000373873
6.839,0.00065415
7.47809,0.000548998
6.50226,0.000722053
6.76578,0.00066808
9.01507,0.00037984
7.88618,0.000494525
8.58604,0.000418228
8.58318,0.000418502
7.46701,0.0005506
8.38097,0.000438654
7.40788,0.000559267
7.75225,0.000511479
7.16796,0.000596606
6.67931,0.000685108
6.00018,0.000844545
7.59758,0.000532157
7.82254,0.000502476
6.84479,0.000653067
6.73782,0.000673517
6.66938,0.000687105
6.37991,0.000749342
6.13072,0.000809884
7.09547,0.00060862
8.86392,0.00039274
8.83482,0.000395299
8.72146,0.000405507
6.68097,0.000684776
6.85623,0.000650935
6.47594,0.000727798
6.10991,0.000815268
7.67922,0.00052109
6.67647,0.000685678
8.36593,0.000440211
7.37517,0.000564149
6.68303,0.000684364
6.16708,0.000800608
8.07959,0.000471487
6.05053,0.000830921
7.77392,0.000508677
6.98551,0.000627543
6.40314,0.000744043
7.29251,0.000576774
6.82184,0.000657377
7.03305,0.000619256
8.47127,0.00042948
8.42327,0.00043432
8.32453,0.000444538
6.92123,0.000639014
7.61167,0.000530222
6.15913,0.000802622
7.57403,0.000535415
8.50822,0.000425808
8.24486,0.000453045
7.04258,0.000617614
8.80499,0.000198974
7.42986,0.000278011
10.4675,0.000141315
9.06867,0.000187708
10.3651,0.000144094
7.36656,0.000282722
10.5207,0.000139902
7.64251,0.000263012
7.59563,0.000266213
9.26816,0.000179807
9.38398,0.000175445
7.52109,0.000271424
7.56956,0.000268018
6.93154,0.000318577
9.24741,0.000180605
8.33188,0.000221882
10.5762,0.00013845
10.6204,0.000137311
8.95866,0.00019229
10.3101,0.000145623
8.26663,0.000225348
7.98545,0.000241248
7.53287,0.00027059
9.23842,0.000180953
8.70542,0.000203492
8.29797,0.000223674
8.94301,0.000192955
9.86302,0.000158986
8.49671,0.000213473
8.98662,0.00019111
7.73392,0.000256933
7.80378,0.000252428
7.7833,0.000253736
9.14972,0.000184437
9.18201,0.000183157
9.36978,0.000175971
8.67864,0.000204733
9.14242,0.000184728
7.52066,0.000271454
7.82976,0.000250782
