delay,gain
2.82848,1.306e-07
107.861,-3.60406e-07
111.528,-2.23076e-07
14.9927,3.77307e-05
38.6064,9.37769e-06
48.6031,5.95911e-06
63.8269,3.63021e-06
76.3247,2.42862e-06
79.1367,1.87386e-06
83.0501,1.42845e-06
89.4077,8.492e-07
97.9707,6.19981e-07
101.771,4.77465e-07
101.799,3.81866e-07
107.166,2.90193e-07
113.755,2.18709e-07
58.8088,-2.52158e-06
75.6506,-1.56817e-06
101.281,-9.37056e-07
102.196,-7.42936e-07
111.208,-5.46186e-07
119.863,-4.05398e-07
131.154,-2.96398e-07
162.546,-1.91324e-07
171.938,-1.44698e-07
55.6486,2.66478e-06
46.0562,1.22825e-05
47.7047,9.48645e-06
56.4743,6.41068e-06
64.5765,4.48508e-06
82.6447,1.79432e-06
86.0942,1.37794e-06
94.3313,1.0061e-06
103.487,7.33666e-07
104.058,5.83713e-07
128.172,3.79116e-07
146.627,2.6512e-07
150.214,2.07031e-07
15.5999,-3.62621e-05
24.7494,-1.82852e-05
44.5977,-8.11788e-06
54.4468,-5.31952e-06
65.8428,-3.51906e-06
80.4444,-2.30425e-06
89.5229,-1.65646e-06
91.4069,-1.29785e-06
106.592,-8.90371e-07
120.361,-6.3081e-07
133.468,-4.55089e-07
47.2395,1.19749e-05
58.6587,7.71495e-06
91.0985,3.97415e-06
96.0233,3.01626e-06
99.7205,2.32354e-06
105.099,1.7637e-06
142.64,1.03962e-06
147.683,8.03294e-07
163.27,5.81284e-07
14.4605,3.91193e-05
43.6726,8.28984e-06
49.5878,5.84077e-06
51.3248,4.51448e-06
54.2064,3.41959e-06
80.531,9.42805e-07
94.1852,6.449e-07
102.34,4.7481e-07
124.601,2.49587e-07
132.725,1.87448e-07
47.4685,-1.19171e-05
48.656,-9.30098e-06
62.9122,-5.75467e-06
72.4731,-3.99639e-06
86.4919,-2.67892e-06
94.2492,-1.96674e-06
107.18,-1.10686e-06
117.427,-8.08218e-07
118.969,-6.38194e-07
123.975,-4.89936e-07
138.876,-3.49896e-07
141.177,-2.75353e-07
147.611,-2.10681e-07
169.34,-1.46918e-07
46.6692,-1.21212e-05
55.1752,-8.20203e-06
64.798,-5.58719e-06
70.9603,-4.08159e-06
92.5454,-2.50369e-06
122.368,-7.7558e-07
125.607,-4.83572e-07
143.18,-3.39377e-07
150.192,-2.58826e-07
161,-1.93161e-07
171.249,-1.4528e-07
50.2062,1.12672e-05
61.8519,5.85331e-06
74.3281,3.11733e-06
77.6868,2.38604e-06
102.46,4.74253e-07
103.588,3.75271e-07
132.784,2.34206e-07
153.479,1.62101e-07
47.827,-1.18277e-05
49.5849,-9.12674e-06
52.2773,-6.92535e-06
52.2978,-5.53811e-06
56.9719,-4.067e-06
84.957,-2.18186e-06
105.708,-1.12227e-06
111.849,-6.78817e-07
120.87,-5.02522e-07
123.412,-3.93739e-07
125.55,-3.09626e-07
166.198,-1.8712e-07
168.319,-1.4781e-07
46.9685,1.20439e-05
47.3199,9.5636e-06
54.9518,6.58829e-06
95.1884,3.04271e-06
107.177,2.16188e-06
129.08,1.43603e-06
158.705,3.82723e-07
48.4981,1.16641e-05
64.6737,6.99741e-06
114.122,1.62427e-06
131.915,8.99314e-07
150.727,6.29655e-07
176.18,4.30951e-07
181.315,3.34997e-07
198.596,1.95742e-07
212.979,1.46019e-07
46.4615,-1.21753e-05
53.1177,-8.51973e-06
63.3938,-5.71095e-06
75.5681,-3.83271e-06
116.634,-6.5097e-07
117.04,-5.18966e-07
130.571,-2.97721e-07
163.125,-1.52515e-07
46.2516,-1.22306e-05
51.6188,-8.76713e-06
62.2534,-5.81557e-06
104.303,-2.22145e-06
111.848,-1.32583e-06
151.151,-6.27892e-07
152.152,-4.99007e-07
160.988,-3.77296e-07
166.581,-2.91702e-07
210.126,-1.85002e-07
15.6246,3.62048e-05
15.722,2.87845e-05
15.7402,2.3001e-05
44.0392,5.26133e-06
88.9188,8.53869e-07
96.2231,6.31242e-07
103.667,4.6873e-07
111.298,3.49274e-07
131.125,2.3717e-07
28.5117,1.98405e-05
28.8774,1.56714e-05
45.3342,7.986e-06
50.8843,5.69195e-06
53.6445,4.31926e-06
74.6333,1.58954e-06
85.501,1.11e-06
87.3147,8.69556e-07
107.477,3.61693e-07
108.928,2.85501e-07
114.88,2.16566e-07
46.5517,1.21518e-05
53.5797,8.44627e-06
94.4803,3.83189e-06
105.524,2.74469e-06
115.276,2.01e-06
153.335,7.73684e-07
158.049,6.00486e-07
158.163,4.80044e-07
161.417,3.76292e-07
166.456,2.91921e-07
189.899,2.04707e-07
197.739,1.57272e-07
199.841,1.24494e-07
107.713,3.60901e-07
123.277,2.52269e-07
46.7421,1.21023e-05
46.9292,9.64322e-06
47.9863,7.54463e-06
73.6732,3.93129e-06
93.6455,2.47427e-06
98.2343,1.88696e-06
108.911,1.36158e-06
130.569,9.08585e-07
150.315,6.31383e-07
176.103,2.20743e-07
204.949,1.51739e-07
49.5905,1.14071e-05
60.0286,7.53888e-06
92.3059,2.51018e-06
129.303,1.43356e-06
129.675,1.14356e-06
133.631,8.87767e-07
138.741,6.84053e-07
143.687,5.28407e-07
158.969,3.82088e-07
164.645,2.95132e-07
46.882,1.20662e-05
174.097,1.42904e-07
